run,cycle,n_labeled,mae_test,mse_test,rmse_test,r2_test,mae_val,mse_val,rmse_val,r2_val,queried_idx
1,1,60,0.875458233086932,1.2998182058860965,1.1400957003190988,0.5852792238125832,0.9262532040767049,1.4870022448698246,1.2194270149827846,0.5135388859725809,"[719, 509, 736, 594, 490, 116, 628, 60, 277, 599, 566, 371, 520, 272, 373, 145, 32, 516, 322, 330, 349, 601, 666, 563, 464, 261, 131, 515, 579, 539, 606, 91, 203, 67, 358, 648, 50, 365, 141, 404, 327, 734, 411, 312, 663, 46, 697, 758, 265, 394, 121, 689, 321, 558, 504, 165, 66, 290, 560, 562]"
1,2,130,0.7136727717784233,0.9015955538721043,0.9495238563996716,0.712336381952686,0.7546726336592243,1.0607927751905548,1.029947947806371,0.6529699689749899,"[542, 348, 23, 458, 10, 54, 324, 444, 195, 578, 569, 379, 308, 246, 341, 518, 616, 635, 448, 213, 59, 295, 550, 709, 534, 90, 670, 698, 160, 503, 647, 414, 352, 314, 117, 98, 377, 468, 25, 631, 728, 76, 596, 156, 130, 403, 88, 204, 432, 392, 135, 280, 258, 35, 660, 177, 416, 1, 611, 662, 364, 339, 702, 56, 658, 453, 389, 62, 592, 718]"
1,3,200,0.6781340138206526,0.821555079463864,0.9063967560973859,0.737874143712505,0.70035110851503,0.8941509586252788,0.9455955576382954,0.7074855314158479,"[426, 462, 63, 605, 216, 278, 264, 13, 418, 49, 82, 546, 332, 727, 303, 133, 613, 393, 104, 487, 48, 396, 210, 176, 531, 483, 665, 187, 586, 399, 386, 356, 382, 425, 430, 126, 103, 251, 619, 44, 466, 292, 738, 383, 123, 16, 580, 551, 561, 431, 479, 147, 435, 112, 422, 508, 567, 602, 652, 552, 510, 317, 239, 185, 328, 679, 338, 181, 664, 671]"
1,4,270,0.659854237002715,0.7862653761938764,0.8867160628937971,0.7491336975987932,0.6547577772668035,0.8067667144596323,0.898201934121516,0.7360726010802826,"[491, 505, 690, 574, 732, 43, 636, 212, 442, 708, 492, 220, 86, 643, 351, 522, 342, 615, 259, 495, 372, 15, 644, 169, 482, 78, 557, 707, 642, 651, 388, 397, 753, 681, 105, 717, 624, 390, 755, 693, 417, 55, 412, 224, 614, 525, 190, 318, 456, 241, 378, 496, 541, 256, 673, 584, 69, 470, 273, 528, 572, 754, 334, 153, 6, 405, 535, 427, 36, 58]"
1,5,340,0.6172135739634356,0.6791194728040488,0.8240870541417629,0.7833197337828602,0.6182500077804175,0.7638981466490884,0.8740126696158863,0.7500967165957927,"[144, 115, 53, 454, 102, 408, 481, 207, 577, 288, 347, 739, 533, 710, 461, 438, 653, 183, 723, 87, 656, 316, 178, 343, 600, 637, 369, 714, 301, 627, 136, 306, 161, 423, 543, 228, 493, 201, 235, 267, 313, 298, 225, 650, 733, 544, 536, 571, 143, 138, 99, 612, 625, 96, 139, 22, 191, 514, 238, 507, 307, 77, 497, 756, 124, 488, 30, 387, 537, 376]"
1,6,410,0.5971663639750261,0.66156488140143,0.813366388167983,0.7889207122421396,0.6213612451502425,0.7317750253740124,0.8554384988846436,0.7606055436102934,"[441, 208, 148, 511, 81, 196, 743, 83, 445, 575, 570, 384, 741, 632, 33, 20, 40, 270, 52, 746, 706, 260, 564, 434, 521, 329, 150, 694, 214, 107, 302, 234, 608, 227, 357, 447, 335, 638, 439, 262, 446, 449, 166, 57, 27, 167, 68, 283, 118, 532, 674, 297, 24, 315, 646, 649, 465, 471, 346, 730, 696, 218, 250, 553, 731, 285, 703, 669, 549, 65]"
1,7,480,0.6079512838045693,0.6718332048762174,0.8196543203547563,0.7856444947970205,0.581212088879879,0.6618842385124759,0.8135626825958009,0.7834697660109075,"[163, 173, 151, 645, 610, 555, 248, 154, 222, 513, 284, 737, 370, 501, 106, 711, 19, 433, 155, 271, 687, 735, 485, 233, 266, 667, 729, 245, 254, 42, 199, 7, 51, 750, 701, 142, 140, 705, 333, 699, 219, 12, 620, 585, 757, 410, 661, 337, 97, 744, 180, 37, 494, 244, 279, 186, 360, 231, 128, 500, 419, 415, 189, 253, 517, 276, 654, 391, 289, 582]"
1,8,550,0.5793392264919874,0.6071700160705371,0.7792111498628194,0.8062759705917173,0.553518063084551,0.6341470983949272,0.7963335346416897,0.7925437537120481,"[198, 684, 29, 713, 94, 363, 683, 476, 469, 524, 603, 502, 400, 685, 310, 362, 17, 480, 175, 232, 354, 361, 621, 604, 506, 92, 409, 367, 437, 263, 499, 205, 526, 110, 194, 745, 14, 3, 452, 700, 237, 75, 108, 255, 202, 179, 159, 149, 583, 247, 71, 257, 720, 311, 47, 512, 152, 590, 168, 657, 595, 407, 395, 591, 429, 540, 424, 127, 680, 556]"
1,9,620,0.5872163106979481,0.5997112428578768,0.7744102548764943,0.8086557712454954,0.5487205282409197,0.5761017428214067,0.7590136644497296,0.8115328362328242,"[41, 236, 9, 622, 740, 114, 489, 84, 73, 443, 217, 215, 626, 682, 79, 299, 192, 629, 428, 581, 420, 668, 243, 721, 630, 368, 374, 162, 559, 751, 164, 375, 639, 291, 436, 617, 182, 413, 21, 5, 529, 206, 11, 111, 587, 623, 101, 609, 80, 498, 293, 588, 89, 188, 527, 440, 171, 450, 695, 240, 137, 2, 134, 226, 74, 193, 113, 28, 726, 459]"
1,10,690,0.5936640100532512,0.6266607767373981,0.7916190856323501,0.8000572368059927,0.5404989017132354,0.5595633241293914,0.7480396541156032,0.8169432501100904,"[573, 538, 640, 340, 294, 712, 275, 380, 457, 223, 675, 634, 402, 305, 633, 345, 287, 170, 125, 70, 484, 473, 692, 93, 304, 286, 61, 381, 568, 725, 64, 323, 688, 309, 174, 463, 523, 486, 547, 320, 325, 565, 326, 385, 678, 269, 122, 421, 655, 296, 401, 268, 200, 158, 722, 38, 8, 455, 331, 747, 749, 184, 336, 72, 109, 659, 120, 282, 398, 691]"
