run,cycle,n_labeled,mae_test,mse_test,rmse_test,r2_test,mae_val,mse_val,rmse_val,r2_val,mean_uncertainty,max_uncertainty,queried_idx
1,1,60,1.0776897598316473,2.063284611579665,1.4364138023493318,0.5933777198370522,1.1948559483001226,2.384888391031212,1.544308385987466,0.5127283200936796,0.8250998688694539,1.6102545698268231,"[719, 509, 736, 594, 490, 116, 628, 60, 277, 599, 566, 371, 520, 272, 373, 145, 32, 516, 322, 330, 349, 601, 666, 563, 464, 261, 131, 515, 579, 539, 606, 91, 203, 67, 358, 648, 50, 365, 141, 404, 327, 734, 411, 312, 663, 46, 697, 758, 265, 394, 121, 689, 321, 558, 504, 165, 66, 290, 560, 562]"
1,2,130,0.9215851855929315,1.5535750472839134,1.246424906395854,0.6938288471762524,1.1523993946790836,2.130531597611953,1.459634062911644,0.564697570516923,0.45521322747336135,0.6337713802232865,"[341, 749, 556, 382, 626, 256, 273, 93, 377, 172, 534, 715, 646, 117, 205, 480, 2, 423, 354, 647, 616, 250, 629, 535, 210, 326, 573, 305, 107, 659, 727, 640, 345, 529, 698, 531, 206, 29, 130, 97, 303, 643, 254, 195, 11, 64, 160, 294, 577, 7, 412, 624, 175, 255, 403, 717, 271, 153, 548, 236, 149, 293, 584, 704, 725, 124, 605, 316, 169, 270]"
1,3,200,0.8967878046722847,1.5085826336032135,1.2282437191385158,0.7026957372495874,1.0379650616382052,1.8485920578878736,1.3596293825480066,0.622302426857376,0.45419413382907253,0.5993470274773243,"[600, 346, 437, 642, 484, 136, 176, 401, 549, 388, 173, 367, 314, 522, 335, 451, 328, 564, 440, 167, 338, 686, 343, 323, 223, 625, 667, 308, 690, 128, 209, 652, 675, 28, 262, 673, 441, 450, 465, 632, 188, 43, 668, 73, 467, 386, 178, 324, 155, 518, 251, 721, 724, 48, 351, 427, 292, 174, 248, 3, 661, 34, 363, 519, 88, 240, 550, 438, 400, 622]"
1,4,270,0.9147400704761376,1.4863279850879538,1.2191505178147422,0.7070815771248589,1.022874712101855,1.8175830061815397,1.34817766120847,0.6286380829719642,0.4353060385835889,0.6387105957179705,"[148, 611, 709, 708, 51, 485, 227, 4, 21, 561, 598, 260, 192, 653, 151, 694, 199, 368, 413, 72, 185, 588, 333, 555, 344, 619, 27, 212, 586, 360, 741, 317, 228, 220, 707, 109, 5, 139, 507, 722, 429, 506, 146, 433, 246, 267, 189, 669, 85, 434, 229, 95, 664, 44, 614, 384, 385, 69, 284, 700, 702, 660, 682, 602, 405, 252, 551, 436, 655, 383]"
1,5,340,0.9155694074936457,1.5276800366866214,1.2359935423320874,0.698932112229857,0.9987309130376478,1.7755681960681162,1.3325044825696146,0.6372223954210934,0.46067306777854955,0.7843897019589452,"[112, 319, 402, 76, 68, 748, 183, 533, 475, 466, 695, 37, 468, 469, 127, 574, 105, 35, 687, 636, 735, 432, 39, 508, 13, 381, 444, 677, 692, 590, 473, 672, 376, 348, 578, 575, 186, 110, 40, 194, 286, 268, 439, 645, 613, 304, 215, 79, 74, 33, 311, 103, 544, 82, 332, 163, 357, 460, 86, 479, 500, 287, 198, 164, 80, 650, 285, 55, 142, 279]"
1,6,410,0.8466738083564486,1.3925043508547037,1.1800442156354582,0.7255718910015713,0.9693542093227979,1.680975729983681,1.296524481058372,0.6565491823805094,0.4363136326312306,0.8639605432754386,"[184, 641, 414, 126, 245, 658, 274, 299, 421, 716, 221, 662, 171, 744, 447, 720, 542, 230, 219, 408, 528, 0, 325, 53, 390, 524, 455, 331, 41, 693, 207, 483, 476, 559, 389, 688, 751, 275, 129, 442, 457, 596, 419, 681, 366, 49, 218, 620, 30, 463, 100, 654, 257, 143, 396, 313, 24, 306, 610, 649, 617, 587, 156, 699, 603, 300, 59, 742, 449, 491]"
1,7,480,0.8128181199030452,1.2788197099538925,1.1308491101618696,0.7479763172465779,0.9397762427117585,1.5814621436605847,1.2575619840232866,0.6768814346416689,0.3651373025460852,0.9020133305807393,"[347, 94, 234, 604, 125, 568, 644, 392, 497, 754, 431, 706, 740, 691, 75, 514, 372, 406, 269, 571, 295, 108, 361, 478, 525, 496, 453, 281, 329, 26, 259, 289, 1, 87, 489, 511, 674, 17, 397, 728, 517, 296, 443, 713, 582, 113, 118, 264, 607, 546, 750, 309, 196, 191, 495, 114, 597, 482, 541, 120, 133, 510, 355, 181, 242, 391, 615, 471, 177, 58]"
1,8,550,0.7708400395520005,1.1870351227358935,1.0895114146882048,0.76606478547289,0.9341657692974034,1.5713263929375498,1.2535255852744092,0.6789523341858565,0.28789254809615755,0.5848324703460415,"[633, 320, 54, 31, 179, 481, 77, 487, 634, 182, 379, 119, 96, 387, 755, 122, 56, 591, 318, 521, 201, 89, 45, 572, 703, 202, 502, 418, 638, 540, 239, 123, 426, 410, 452, 428, 61, 380, 676, 752, 583, 621, 211, 10, 52, 398, 424, 92, 714, 63, 247, 747, 409, 84, 276, 238, 374, 150, 83, 407, 448, 134, 36, 711, 753, 494, 553, 527, 302, 334]"
1,9,620,0.7286777913490692,1.1238684639570016,1.0601266263786613,0.778513368997818,0.8902707840613658,1.4690193022639209,1.2120310648922827,0.6998553450463825,0.20655651415691462,0.4238663672355482,"[71, 235, 731, 557, 651, 543, 180, 22, 57, 16, 685, 159, 486, 581, 684, 65, 580, 739, 362, 102, 552, 23, 353, 657, 512, 705, 106, 197, 618, 200, 9, 635, 19, 166, 132, 710, 12, 631, 680, 712, 81, 530, 612, 243, 6, 593, 746, 416, 20, 462, 208, 278, 456, 499, 369, 301, 111, 477, 678, 280, 258, 140, 225, 608, 283, 291, 104, 18, 233, 393]"
1,10,690,0.7244610134888132,1.0698210085712783,1.0343215208876195,0.7891647834573686,0.87600170365336,1.4478292534939214,1.20325776685377,0.7041848183669306,0.12804621433282704,0.36721724178965465,"[266, 38, 670, 470, 282, 547, 378, 70, 461, 701, 47, 425, 138, 726, 565, 241, 226, 359, 656, 696, 513, 213, 723, 399, 154, 472, 589, 570, 158, 101, 537, 503, 536, 430, 422, 370, 759, 161, 356, 244, 417, 730, 459, 538, 315, 99, 162, 237, 630, 756, 445, 501, 8, 310, 609, 78, 523, 505, 671, 62, 193, 718, 253, 350, 592, 214, 446, 339, 144, 216]"
