run,cycle,n_labeled,mae_test,mse_test,rmse_test,r2_test,mae_val,mse_val,rmse_val,r2_val,queried_idx
1,1,60,0.9007926794330529,1.4460215467282245,1.2025063603691353,0.5386314982147514,0.9375026476020504,1.5650570665802284,1.2510224085044315,0.4880038636446363,"[719, 509, 736, 594, 490, 116, 628, 60, 277, 599, 566, 371, 520, 272, 373, 145, 32, 516, 322, 330, 349, 601, 666, 563, 464, 261, 131, 515, 579, 539, 606, 91, 203, 67, 358, 648, 50, 365, 141, 404, 327, 734, 411, 312, 663, 46, 697, 758, 265, 394, 121, 689, 321, 558, 504, 165, 66, 290, 560, 562]"
1,2,130,0.7510850538408784,0.9887784243033382,0.9943733827407782,0.6845197630349351,0.7801306550072066,1.1063529069430371,1.0518331174397568,0.6380653294399712,"[542, 348, 23, 458, 10, 54, 324, 444, 195, 578, 569, 379, 308, 246, 341, 518, 616, 635, 448, 213, 59, 295, 550, 709, 534, 90, 670, 698, 160, 503, 647, 414, 352, 314, 117, 98, 377, 468, 25, 631, 728, 76, 596, 156, 130, 403, 88, 204, 432, 392, 135, 280, 258, 35, 660, 177, 416, 1, 611, 662, 364, 339, 702, 56, 658, 453, 389, 62, 592, 718]"
1,3,200,0.7098965364088599,0.9191984340879084,0.9587483684929577,0.7067199964357163,0.709243314842052,0.9117310508353448,0.9548460875111469,0.7017343422224771,"[426, 462, 63, 605, 216, 278, 264, 13, 418, 49, 82, 546, 332, 727, 303, 133, 613, 393, 104, 487, 48, 396, 210, 176, 531, 483, 665, 187, 586, 399, 386, 356, 382, 425, 430, 126, 103, 251, 619, 44, 466, 292, 738, 383, 123, 16, 580, 551, 561, 431, 479, 147, 435, 112, 422, 508, 567, 602, 652, 552, 510, 317, 239, 185, 328, 679, 338, 181, 664, 671]"
1,4,270,0.6631402917239272,0.8201342798222031,0.9056126544070611,0.7383274648981355,0.6574245317215883,0.7844124198511835,0.8856706045992401,0.7433856331190978,"[491, 505, 690, 574, 732, 43, 636, 212, 442, 708, 492, 220, 86, 643, 351, 522, 342, 615, 259, 495, 372, 15, 644, 169, 482, 78, 557, 707, 642, 651, 388, 397, 753, 681, 105, 717, 624, 390, 755, 693, 417, 55, 412, 224, 614, 525, 190, 318, 456, 241, 378, 496, 541, 256, 673, 584, 69, 470, 273, 528, 572, 754, 334, 153, 6, 405, 535, 427, 36, 58]"
1,5,340,0.6085328310411953,0.6454585748622562,0.8034043657226766,0.7940596000644446,0.6187108434916548,0.7614074161398339,0.8725866238602525,0.7509115395339921,"[144, 115, 53, 454, 102, 408, 481, 207, 577, 288, 347, 739, 533, 710, 461, 438, 653, 183, 723, 87, 656, 316, 178, 343, 600, 637, 369, 714, 301, 627, 136, 306, 161, 423, 543, 228, 493, 201, 235, 267, 313, 298, 225, 650, 733, 544, 536, 571, 143, 138, 99, 612, 625, 96, 139, 22, 191, 514, 238, 507, 307, 77, 497, 756, 124, 488, 30, 387, 537, 376]"
1,6,410,0.6039647318392594,0.6501604758231242,0.8063252915685606,0.7925594087244425,0.635453363658143,0.7573189065265995,0.8702407175756599,0.7522490633662712,"[441, 208, 148, 511, 81, 196, 743, 83, 445, 575, 570, 384, 741, 632, 33, 20, 40, 270, 52, 746, 706, 260, 564, 434, 521, 329, 150, 694, 214, 107, 302, 234, 608, 227, 357, 447, 335, 638, 439, 262, 446, 449, 166, 57, 27, 167, 68, 283, 118, 532, 674, 297, 24, 315, 646, 649, 465, 471, 346, 730, 696, 218, 250, 553, 731, 285, 703, 669, 549, 65]"
1,7,480,0.5978373194112938,0.6782975918739429,0.82358824170452,0.783581963605249,0.5957615456091564,0.6599801424023986,0.8123916188651865,0.784092676109476,"[163, 173, 151, 645, 610, 555, 248, 154, 222, 513, 284, 737, 370, 501, 106, 711, 19, 433, 155, 271, 687, 735, 485, 233, 266, 667, 729, 245, 254, 42, 199, 7, 51, 750, 701, 142, 140, 705, 333, 699, 219, 12, 620, 585, 757, 410, 661, 337, 97, 744, 180, 37, 494, 244, 279, 186, 360, 231, 128, 500, 419, 415, 189, 253, 517, 276, 654, 391, 289, 582]"
1,8,550,0.5647958835938679,0.5866077185988071,0.7659032044578525,0.812836589552935,0.5753626426920786,0.6308951481643168,0.794289083498141,0.7936076037078381,"[198, 684, 29, 713, 94, 363, 683, 476, 469, 524, 603, 502, 400, 685, 310, 362, 17, 480, 175, 232, 354, 361, 621, 604, 506, 92, 409, 367, 437, 263, 499, 205, 526, 110, 194, 745, 14, 3, 452, 700, 237, 75, 108, 255, 202, 179, 159, 149, 583, 247, 71, 257, 720, 311, 47, 512, 152, 590, 168, 657, 595, 407, 395, 591, 429, 540, 424, 127, 680, 556]"
1,9,620,0.5635710210331731,0.5864546203517432,0.7658032517244512,0.8128854371714465,0.5786185068200782,0.6132713289876284,0.7831164210943532,0.7993730978351588,"[41, 236, 9, 622, 740, 114, 489, 84, 73, 443, 217, 215, 626, 682, 79, 299, 192, 629, 428, 581, 420, 668, 243, 721, 630, 368, 374, 162, 559, 751, 164, 375, 639, 291, 436, 617, 182, 413, 21, 5, 529, 206, 11, 111, 587, 623, 101, 609, 80, 498, 293, 588, 89, 188, 527, 440, 171, 450, 695, 240, 137, 2, 134, 226, 74, 193, 113, 28, 726, 459]"
1,10,690,0.6028755444593226,0.6466384429269953,0.8041383232547715,0.793683150652218,0.5390475448856396,0.5379318938802539,0.7334384049668069,0.8240198027469852,"[573, 538, 640, 340, 294, 712, 275, 380, 457, 223, 675, 634, 402, 305, 633, 345, 287, 170, 125, 70, 484, 473, 692, 93, 304, 286, 61, 381, 568, 725, 64, 323, 688, 309, 174, 463, 523, 486, 547, 320, 325, 565, 326, 385, 678, 269, 122, 421, 655, 296, 401, 268, 200, 158, 722, 38, 8, 455, 331, 747, 749, 184, 336, 72, 109, 659, 120, 282, 398, 691]"
1,11,760,0.6028046085086933,0.6593763941240683,0.8120199468757331,0.7896189723051495,0.5241733799474052,0.5109544371193252,0.7148107701478239,0.8328452660002008,"[672, 18, 344, 249, 478, 197, 576, 597, 229, 100, 252, 451, 95, 589, 618, 157, 742, 519, 715, 274, 460, 34, 230, 85, 146, 129, 211, 281, 593, 242, 221, 4, 355, 530, 366, 406, 319, 607, 598, 467, 0, 677, 472, 716, 172, 759, 724, 353, 554, 45, 704, 548, 359, 748, 119, 31, 477, 474, 209, 686, 641, 475, 300, 132, 26, 545, 350, 39, 752, 676]"
2,1,60,0.9559499425292858,1.7002184411759156,1.3039242467167775,0.45752728464673853,0.8830519839545992,1.5010362698291473,1.225167853736437,0.5089477648498294,"[154, 249, 309, 429, 595, 396, 92, 238, 317, 604, 710, 599, 347, 399, 377, 539, 121, 294, 79, 248, 577, 16, 302, 538, 490, 216, 371, 55, 391, 25, 378, 42, 169, 64, 204, 115, 576, 529, 565, 523, 668, 715, 300, 541, 124, 312, 448, 679, 405, 67, 198, 484, 408, 734, 704, 22, 616, 397, 622, 214]"
2,2,130,0.780039066940672,1.1481472517083366,1.071516332917206,0.6336714493998581,0.676332155473512,0.9543019933100897,0.9768838177132886,0.6878075924997324,"[548, 352, 26, 465, 10, 56, 329, 451, 196, 582, 571, 381, 315, 253, 344, 521, 619, 638, 455, 217, 61, 298, 556, 711, 540, 93, 671, 698, 161, 510, 650, 419, 355, 321, 119, 100, 379, 474, 28, 634, 730, 77, 600, 157, 133, 410, 90, 206, 438, 395, 137, 283, 265, 37, 662, 178, 421, 1, 613, 664, 366, 342, 702, 58, 660, 460, 392, 63, 596, 721]"
2,3,200,0.686630802514896,0.8833445688772907,0.939864122560964,0.7181595521690733,0.6666424208364861,0.8116259129340158,0.9009028321267593,0.734482952435646,"[432, 469, 65, 608, 220, 281, 270, 13, 423, 51, 84, 552, 335, 729, 308, 135, 615, 398, 106, 495, 50, 401, 212, 177, 535, 491, 666, 188, 589, 404, 388, 359, 384, 431, 436, 129, 105, 258, 623, 47, 472, 295, 739, 385, 126, 17, 583, 557, 566, 437, 486, 147, 441, 114, 427, 514, 569, 605, 654, 558, 515, 324, 244, 186, 332, 681, 341, 182, 665, 672]"
